"","countrycode","regioncode","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","population_country","p_w_country_only","recent_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country"
"12","BR","BRMG",20869101,0,0,0,0,35,2,0,0,0,0,204453710,0.15,0,100,1,0.0568731207848143,7327,0.00801455513575299,7327,0.0581270170984697,0.00790664406619929
"13","BR","BRMS",2651235,0,0,0,0,55,3,0,0,0,0,204453710,0.15,0,100,1,0.0568731207848143,7327,0.00801455513575299,7327,0.0581270170984697,0.00790664406619929
"14","BR","BRMT",3265486,NA,NA,NA,NA,0,0,NA,NA,NA,NA,204453710,0.15,0,100,1,0.0568731207848143,7327,0.00801455513575299,7327,0.0581270170984697,0.00790664406619929
"15","BR","BRPA",8175113,0.126315789473684,0.149166666666667,0.0277777777777778,0.0166666666666667,190,4,0.126315789473684,0.149166666666667,0.0277777777777778,0.0166666666666667,204453710,0.15,0,100,1,0.0568731207848143,7327,0.00801455513575299,7327,0.0581270170984697,0.00790664406619929
"16","BR","BRPB",3972202,0.1625,0.0866666666666667,0.0625,0.166666666666667,80,3,0.1625,0.0866666666666667,0.0625,0.166666666666667,204453710,0.15,0,100,1,0.0568731207848143,7327,0.00801455513575299,7327,0.0581270170984697,0.00790664406619929
"17","BR","BRPE",9345173,0.03,0.025,0,0,200,2,0.03,0.025,0,0,204453710,0.15,0,100,1,0.0568731207848143,7327,0.00801455513575299,7327,0.0581270170984697,0.00790664406619929
"18","BR","BRPI",3204028,0.018018018018018,0.00666666666666667,0.00900900900900901,0.0833333333333333,111,3,0.018018018018018,0.00666666666666667,0.00900900900900901,0.0833333333333333,204453710,0.15,0,100,1,0.0568731207848143,7327,0.00801455513575299,7327,0.0581270170984697,0.00790664406619929
"19","BR","BRPR",11163018,0.0759493670886076,0.04,0.0253164556962025,0.0133333333333333,79,6,0.0759493670886076,0.04,0.0253164556962025,0.0133333333333333,204453710,0.15,0,100,1,0.0568731207848143,7327,0.00801455513575299,7327,0.0581270170984697,0.00790664406619929
"20","BR","BRRJ",16550024,0.0574257425742574,0.0684761904761905,0.00495049504950495,0.00633333333333333,1010,10,0.0574257425742574,0.0684761904761905,0.00495049504950495,0.00633333333333333,204453710,0.15,0,100,1,0.0568731207848143,7327,0.00801455513575299,7327,0.0581270170984697,0.00790664406619929
"21","BR","BRRN",3442175,0.08,0.08,0,0,100,1,0.08,0.08,0,0,204453710,0.15,0,100,1,0.0568731207848143,7327,0.00801455513575299,7327,0.0581270170984697,0.00790664406619929
"22","BR","BRRO",1768204,NA,NA,NA,NA,0,0,NA,NA,NA,NA,204453710,0.15,0,100,1,0.0568731207848143,7327,0.00801455513575299,7327,0.0581270170984697,0.00790664406619929
"23","BR","BRRR",505665,NA,NA,NA,NA,0,0,NA,NA,NA,NA,204453710,0.15,0,100,1,0.0568731207848143,7327,0.00801455513575299,7327,0.0581270170984697,0.00790664406619929
"24","BR","BRRS",11247972,0.0126903553299492,0.0114285714285714,0,0,394,7,0.0126903553299492,0.0114285714285714,0,0,204453710,0.15,0,100,1,0.0568731207848143,7327,0.00801455513575299,7327,0.0581270170984697,0.00790664406619929
"25","BR","BRSC",6819190,0,0,0,0,65,2,0,0,0,0,204453710,0.15,0,100,1,0.0568731207848143,7327,0.00801455513575299,7327,0.0581270170984697,0.00790664406619929
"26","BR","BRSE",2242937,0.075,0.075,0.015,0.015,200,1,0.075,0.075,0.015,0.015,204453710,0.15,0,100,1,0.0568731207848143,7327,0.00801455513575299,7327,0.0581270170984697,0.00790664406619929
"27","BR","BRSP",44396484,0.0394190871369295,0.0332359307359307,0.00337126000842815,0.00600125680770842,2410,34,0.0394190871369295,0.0332359307359307,0.00337126000842815,0.00600125680770842,204453710,0.15,0,100,1,0.0568731207848143,7327,0.00801455513575299,7327,0.0581270170984697,0.00790664406619929
"28","BR","BRTO",1515126,0.0533333333333333,0.0675,0.01,0.015,300,2,0.0533333333333333,0.0675,0.01,0.015,204453710,0.15,0,100,1,0.0568731207848143,7327,0.00801455513575299,7327,0.0581270170984697,0.00790664406619929
